Algo,Data Size,Observed Runtime,Ratio,Emp Big-O
Merge,1000,0.0018457915999988,,
Merge,2000,0.004011291599999739,2.173209369899802,1.1198271723863862
Merge,4000,0.0085294918000002,2.12637041894455,1.088392939778057
Merge,8000,0.018039241799999623,2.114925745048398,1.080607011273815
Merge,16000,0.0382902414000014,2.122608135337606,1.0858380531146647
Quick,1000,0.0012561251999997,,
Quick,2000,0.00281163339999888,2.2383385031998015,1.1624282311126943
Quick,4000,0.00657440840000016,2.338287914776791,1.2254525807023537
Quick,8000,0.016027566799999664,2.4378720981190147,1.28562243758659
Quick,16000,0.04112289180000202,2.565760125236407,1.3593862981328364
Insertion,1000,0.01864374980000174,,
Insertion,2000,0.07779638320000254,4.1727862707101595,2.0610110279382057
Insertion,4000,0.3110405914000012,3.9981369133879094,1.9993278770059246
Insertion,8000,1.244236200200001,4.000237379306874,2.000085613946862
Insertion,16000,4.964963274799999,3.9903703766229603,1.9965226601614896
Shell731,1000,0.00684817539999894,,
Shell731,2000,0.02671174979999898,3.9005644919671765,1.9636829267516407
Shell731,4000,0.10265089160000111,3.8429115414971817,1.9421997679406242
Shell731,8000,0.3904569832000021,3.8037368902892013,1.9274174564500652
Shell731,16000,1.5543006333999956,3.9807218215478626,1.9930300573886468
Shell1000,1000,0.00503081679999862,,
Shell1000,2000,0.0133247918000023,2.648633875915727,1.405248431889375
Shell1000,4000,0.03745379180000012,2.810835048093859,1.4909987926440669
Shell1000,8000,0.1001961419999986,2.675193543421104,1.4196432705915427
Shell1000,16000,0.2799067084000001,2.7935876852424517,1.482119104372515
Bucket,1000,0.00021583300000142,,
Bucket,2000,0.00038915819999938003,1.8030523599116897,0.8504412926593887
Bucket,4000,0.0006751084000000799,1.7347916605667193,0.7947624130542831
Bucket,8000,0.00124866660000002,1.8495794156906833,0.8871972470222601
Bucket,16000,0.00245697480000042,1.9676788023323284,0.9764947389183014
Radix,1000,0.0012084415999978801,,
Radix,2000,0.0023319835999998603,1.9297445569599319,0.9484098885310537
Radix,4000,0.0046180254000006,1.9802992611101025,0.98571846560567
Radix,8000,0.00972497479999954,2.105872956003723,1.07441840347096
Radix,16000,0.01953367500000522,2.0086093179394298,1.0061969817504657
Binary Insertion,1000,0.0014901413999993001,,
Binary Insertion,2000,0.004534616799999421,3.0430781937885563,1.6055314052759748
Binary Insertion,4000,0.01669207480000092,3.681033158083623,1.8801107453175607
Binary Insertion,8000,0.06692910839999935,4.009633865287715,2.003470504797431
Binary Insertion,16000,0.2833416748000019,4.233459574967304,2.0818371129267326
Simple Tim,1000,0.00137760839999994,,
Simple Tim,2000,0.0030777332000013003,2.2341132646994852,1.159702329186496
Simple Tim,4000,0.00672979160000004,2.186606558358339,1.128693655974228
Simple Tim,8000,0.01463354160000134,2.1744420139252534,1.120645236813983
Simple Tim,16000,0.03128341679999942,2.1377884899713244,1.0961191217374164
